sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
27625092588,2020-06-14T06:42:00Z,77,18,21,38,77,59,0.1151219512195122
27610940747,2020-06-13T06:34:00Z,73,21,16,36,78,56,0.1084070796460177
27599289901,2020-06-12T07:23:00Z,79,22,15,42,98,55,0.11291963377416073
27579662981,2020-06-11T06:26:00Z,72,21,19,32,53,54,0.11870967741935484
27567799670,2020-06-10T07:03:30Z,70,14,22,34,14,54,0.09136420525657071
27552151028,2020-06-09T07:11:30Z,74,19,21,34,77,55,0.09500609013398295
27537067188,2020-06-08T07:21:00Z,74,21,20,33,50,55,0.11028315946348734
27524718601,2020-06-07T09:41:30Z,86,22,19,45,85,55,0.10828025477707007
27511397927,2020-06-06T09:08:00Z,77,20,17,40,99,54,0.11385199240986717
27498690557,2020-06-05T07:25:30Z,76,18,20,38,78,54,0.0998914223669924
27483632725,2020-06-04T07:26:00Z,72,21,13,38,86,53,0.1112176414189837
27467677131,2020-06-03T07:09:30Z,75,19,18,38,81,51,0.10687022900763359
27452183137,2020-06-02T07:22:30Z,83,22,21,40,105,52,0.1041069723018147
27439330244,2020-06-01T07:07:30Z,77,21,22,34,59,53,0.07692307692307693
27427305354,2020-05-31T09:32:30Z,82,21,21,40,79,55,0.09453197405004633
27414081897,2020-05-30T08:23:30Z,67,20,11,36,55,54,0.11471610660486674
27401817097,2020-05-29T07:33:30Z,81,21,21,39,61,55,0.11208576998050682
27386606580,2020-05-28T07:24:30Z,77,20,20,37,67,54,0.11135135135135135
27357460487,2020-05-26T07:13:30Z,72,19,21,32,16,55,0.1027900146842878
27344827345,2020-05-25T08:53:30Z,80,17,22,41,88,57,0.09776833156216791
27332011742,2020-05-24T08:57:00Z,90,21,22,47,82,59,0.08875739644970414
27314996067,2020-05-23T08:31:00Z,71,20,13,38,110,57,0.07603092783505154
27282093022,2020-05-21T07:03:30Z,84,21,22,41,89,58,0.10202117420596728
27268756932,2020-05-20T07:02:30Z,77,21,20,36,72,58,0.0966702470461869
27243475153,2020-05-19T07:10:00Z,77,21,22,34,61,57,0.09923664122137404
27227575149,2020-05-18T07:19:30Z,80,19,21,40,91,59,0.1130890052356021
27203606518,2020-05-16T07:37:30Z,53,15,14,24,31,57,0.07692307692307693
27189311654,2020-05-15T07:13:30Z,70,18,13,39,80,56,0.12512820512820513
27172168662,2020-05-14T06:33:30Z,78,21,21,36,60,56,0.09681528662420383
27137893654,2020-05-12T07:06:30Z,78,20,19,39,53,54,0.0972644376899696
27122066497,2020-05-11T07:16:30Z,79,21,21,37,47,54,0.11189634864546526
27109167070,2020-05-10T08:24:30Z,79,22,20,37,86,55,0.1341330425299891
27096843269,2020-05-09T08:02:30Z,79,20,20,39,97,56,0.13463324048282266
27079945863,2020-05-08T07:45:00Z,85,21,22,42,61,56,0.07334710743801653
27066525421,2020-05-07T07:55:30Z,74,21,21,32,65,55,0.11010558069381599
27052226948,2020-05-06T07:47:00Z,77,21,20,36,40,55,0.10544611819235226
